"i";"j";"lon";"lat";"PL_1";"PL_2";"PL_3";"PL_4";"PL_5";"PL_6"
"1.0";"1.0";"-34.905282582975794";"-8.077433708177498";145.1607773273693;137.822262387907;111.679676144942;137.8222612837825;149.80426283530508;146.73786591176608
"1.0";"2.0";"-34.905055748927374";"-8.077433708177498";144.92390307270657;137.40052361408604;113.08084985736204;137.4005224869821;149.61644059182802;146.5663013226164
"1.0";"3.0";"-34.904828914878955";"-8.077433708177498";144.68576828082243;136.96991879820473;114.40218919579722;136.96991764716785;149.4278180937811;146.39552071642677
"1.0";"4.0";"-34.904602080830536";"-8.077433708177498";144.44641917773296;136.5300764805187;115.65083584316949;136.53007530453652;149.2384175972264;146.2256160945956
"1.0";"5.0";"-34.90437524678212";"-8.077433708177498";144.20590709954843;136.08060204254923;116.83331273963104;136.08060084054566;149.04826332158277;146.05668325627798
"1.0";"6.0";"-34.9041484127337";"-8.077433708177498";143.96428885867266;135.62107581166725;117.95550115421767;135.6210745824973;148.85738156141713;145.88882183909587
"1.0";"7.0";"-34.90392157868528";"-8.077433708177498";143.72162712996914;135.15105097730188;119.02266743898171;135.15104971974583;148.66580080316945;145.7221353481146
"1.0";"8.0";"-34.90369474463686";"-8.077433708177498";143.47799085710292;134.6700512975168;120.03951189162046;134.67005001027388;148.4735518468746;145.5567311716613
"1.0";"9.0";"-34.90346791058844";"-8.077433708177498";143.23345567909084;134.17756857220962;121.01022518981344;134.17756725389089;148.28066793292254;145.39272058249796
"1.0";"10.0";"-34.90324107654002";"-8.077433708177498";142.98810437687507;133.6730598564636;121.93854496241127;133.67305850558435;148.08718487387011;145.23021872280648
"1.0";"11.0";"-34.9030142424916";"-8.077433708177498";142.74202733947797;133.15594438463097;122.82780892029157;133.15594299960208;147.89314119128605;145.0693445713985
"1.0";"12.0";"-34.90278740844318";"-8.077433708177498";142.4953230489863;132.6256001725817;123.68100304572316;132.6255987517002;147.6985782575731;144.91022089153137
"1.0";"13.0";"-34.90256057439476";"-8.077433708177498";142.24809858325196;132.08136026228257;124.5008044336737;132.0813588037213;147.50354044266845;144.75297415769563
"1.0";"14.0";"-34.90233374034634";"-8.077433708177498";142.0004701347724;131.52250856959364;125.2896189326059;131.52250707138953;147.30807526547446;144.5977344597409
"1.0";"15.0";"-34.902106906297924";"-8.077433708177498";141.7525635437264;130.9482752930822;126.04961399043322;130.94827375312366;147.11223354981567;144.44463538273155
"1.0";"16.0";"-34.901880072249504";"-8.077433708177498";141.5045148425783;130.35783183907438;126.78274720962214;130.35783025508715;146.91606958465474;144.29381386096912
"1.0";"17.0";"-34.901653238201085";"-8.077433708177498";141.2564708090268;129.750285216586;127.4907911298647;129.75028358611752;146.71964128822847;144.14541000469396
"1.0";"18.0";"-34.901426404152666";"-8.077433708177498";141.00858952335406;129.1246718559588;128.17535472950786;129.12467017636118;146.52301037568586;143.99956689808033
"1.0";"19.0";"-34.90119957010425";"-8.077433708177498";140.76104092542582;128.47995080814292;128.83790209124967;128.47994907655394;146.32624252971982;143.85643036727572
"1.0";"20.0";"-34.90097273605583";"-8.077433708177498";140.51400736570034;127.81499628936871;129.4797686260235;127.8149945026914;146.12940757358743;143.7161487174047
