"i";"j";"lon";"lat";"PL_1";"PL_2";"PL_3";"PL_4";"PL_5";"PL_6"
"1.0";"1.0";"-34.90530526637559";"-8.077456166542";145.20159330226454;137.86997270000708;111.59370406377063;137.86997159879098;149.83664332530603;146.77587822271548
"1.0";"2.0";"-34.90512379912676";"-8.077456166542";145.01262688044213;137.53417514301967;112.72176792463236;137.53417402360165;149.68672111635485;146.63879563581446
"1.0";"3.0";"-34.90494233187793";"-8.077456166542";144.82285304332353;137.1927828951292;113.79822209927156;137.19278175691224;149.53628649642573;146.5022004511729
"1.0";"4.0";"-34.904760864629104";"-8.077456166542";144.6322946151526;136.8456110329035;114.82667816611412;136.8456098752615;149.3853505354368;146.36613891314818
"1.0";"5.0";"-34.904579397380274";"-8.077456166542";144.44097643969477;136.49246557712664;115.81054204068116;136.49246439940265;149.23392508495516;146.23065880282175
"1.0";"6.0";"-34.904397930131445";"-8.077456166542";144.24892549576148;136.13314291297357;116.75298388176432;136.13314171447774;149.0820228137308;146.0958094530658
"1.0";"7.0";"-34.904216462882616";"-8.077456166542";144.05617101784708;135.7674291652486;117.65693038304022;135.7674279452561;148.92965724449687;145.9616417607879
"1.0";"8.0";"-34.904034995633786";"-8.077456166542";143.86274462194208;135.3950995247395;118.52506991263327;135.39509828248816;148.77684279205283;145.82820819606937
"1.0";"9.0";"-34.90385352838496";"-8.077456166542";143.66868043656265;135.01591752137588;119.35986464913687;135.01591625606375;148.62359480264334;145.69556280790138
"1.0";"10.0";"-34.90367206113613";"-8.077456166542";143.47401523900666;134.62963423949077;120.16356615147723;134.62963295027333;148.4699295946416;145.56376122621117
"1.0";"11.0";"-34.9034905938873";"-8.077456166542";143.27878859681226;134.23598747006707;120.93823222246422;134.23598615605437;148.31586450054175;145.43286065986328
"1.0";"12.0";"-34.90330912663847";"-8.077456166542";143.0830430143558;133.83470079440548;121.68574380962995;133.83469945465905;148.16141791025998;145.30291989031008
"1.0";"13.0";"-34.90312765938964";"-8.077456166542";142.88682408447903;133.42548259318394;122.40782123470592;133.4254812267133;148.0066093157381;145.1739992605615
"1.0";"14.0";"-34.90294619214081";"-8.077456166542";142.6901806449842;133.00802497439264;123.10603938065118;133.0080235801516;147.85145935683715;145.04616065913714
"1.0";"15.0";"-34.90276472489198";"-8.077456166542";142.4931649397756;132.58200261313542;123.78184167094386;132.5820011900182;147.6959898685015;144.91946749866258
"1.0";"16.0";"-34.90258325764315";"-8.077456166542";142.2958327843583;132.14707149579948;124.43655279900693;132.14707004263627;147.54022392916596;144.79398468876988
"1.0";"17.0";"-34.90240179039432";"-8.077456166542";142.0982437353293;131.7028675606306;125.07139023703994;131.70286607618294;147.38418591036967;144.66977860296603
"1.0";"18.0";"-34.90222032314549";"-8.077456166542";141.900461263411;131.24900522634178;125.68747459266655;131.24900370929748;147.22790152753058;144.5469170391369
"1.0";"19.0";"-34.90203885589666";"-8.077456166542";141.70255292948198;130.78507580006885;126.28583890101137;130.78507424903657;147.0713978918241;144.4254691733634
"1.0";"20.0";"-34.901857388647834";"-8.077456166542";141.50459056295594;130.31064575582627;126.86743694689845;130.31064416932958;146.91470356309708;144.3055055067385
"1.0";"21.0";"-34.901675921399004";"-8.077456166542";141.3066504417424;129.82525487469223;127.43315071175238;129.82525325116316;146.757848603736;144.18709780488945
"1.0";"22.0";"-34.901494454150175";"-8.077456166542";141.10881347289776;129.32841423837857;127.98379703559469;129.32841257615078;146.60086463339343;144.07031902992918
"1.0";"23.0";"-34.901312986901345";"-8.077456166542";140.91116537293598;128.8196040687764;128.52013357820454;128.8196023660778;146.44378488446264;143.95524326458633
"1.0";"24.0";"-34.901131519652516";"-8.077456166542";140.71379684661872;128.2982714077319;129.0428641562562;128.29826966267666;146.28664425817192;143.8419456282907
"1.0";"25.0";"-34.90095005240369";"-8.077456166542";140.5168037628842;127.76382763400366;129.55264352577905;127.76382584458378;146.12947938115428;143.73050218502618
"1.0";"26.0";"-34.90076858515486";"-8.077456166542";140.3202873264011;127.21564581850308;130.05008167203226;127.2156439825793;145.97232866232702;143.62098984280115
"1.0";"27.0";"-34.90058711790603";"-8.077456166542";140.12435424305198;126.6530579251054;130.53574766207686;126.65305604039781;145.81523234989584;143.51348624463017
