"i";"j";"lon";"lat";"PL_1";"PL_2";"PL_3";"PL_4";"PL_5";"PL_6"
"1.0";"15.0";"-34.898817814425534";"-8.077321416354998";121.01303872096055;87.84378285865417;124.03009387556699;119.097115658072;126.77317254377999;134.95431949620954
"1.0";"16.0";"-34.89836414645488";"-8.077321416354998";124.54663578070259;100.3822440949665;127.57926999912942;115.29474263700496;132.47540429758624;133.5714613384651
"1.0";"17.0";"-34.89791047848423";"-8.077321416354998";123.26232238783152;97.11499869187689;126.16253520452348;115.39833042556796;132.19703105225838;132.31882107791287
"1.0";"18.0";"-34.897456810513575";"-8.077321416354998";127.42762428894866;103.10187046806098;128.17723293653455;103.10186694786773;133.94517705911647;132.7469372784194
"1.0";"19.0";"-34.89700314254292";"-8.077321416354998";127.01073729224743;100.30962231590193;129.04839823264695;100.30961844788789;133.56048086968184;132.60189940406377
"1.0";"20.0";"-34.89654947457227";"-8.077321416354998";126.62101146220712;97.25552760058696;129.88487452122254;97.25552339902939;133.18474076665518;132.48017480786606
"1.0";"21.0";"-34.896095806601615";"-8.077321416354998";126.26224098265006;93.98776853502119;130.68930009131026;93.98776413181409;132.8194941364323;132.3826106447065
"1.0";"22.0";"-34.89564213863096";"-8.077321416354998";125.93823388925212;90.69867418292418;131.46402521707375;90.69866999067054;132.46637578546935;132.30990281393073
"1.0";"23.0";"-34.89518847066031";"-8.077321416354998";125.6527087389266;87.87640306796416;132.21115234315403;87.87639999032152;132.12710828801482;132.26257989185405
"1.0";"24.0";"-34.894734802689655";"-8.077321416354998";125.40917736504024;86.35821254429935;132.93256954170153;86.35821178157197;131.80348828905213;132.24099055278793
"1.0";"25.0";"-34.894281134719";"-8.077321416354998";125.21081941619913;86.82834984481582;133.62997854056914;86.82835178983495;131.4973683995544;132.2452950943893
"1.0";"26.0";"-34.89382746674835";"-8.077321416354998";125.0603564805829;89.05440639300862;134.30491834037036;89.054410123856;131.21063447775606;132.2754614943969
"1.0";"27.0";"-34.893373798777695";"-8.077321416354998";124.95993511290766;92.17459279860577;134.95878522358686;92.17459716537252;130.94517830854429;132.33126620074157
"1.0";"28.0";"-34.89292013080704";"-8.077321416354998";124.9110285907542;95.4927299803195;135.59284979424524;95.49273432105645;130.70286597091678;132.41229961439365
"1.0";"29.0";"-34.89246646283639";"-8.077321416354998";124.91436643871674;98.67563850478604;136.20827155928407;98.67564256136376;130.48550250977013;132.5179759852346
"1.0";"30.0";"-34.892012794865735";"-8.077321416354998";124.96989861427448;101.61196530904526;136.80611146343222;101.61196901712262;130.29479388202168;132.64754722633947
"1.0";"31.0";"-34.89155912689508";"-8.077321416354998";125.07679798387687;104.28611569708008;137.38734271146666;104.28611906697323;130.13230749700173;132.80011997880825
"1.0";"32.0";"-34.89110545892443";"-8.077321416354998";125.23350083572616;106.71674583080258;137.9528601501106;106.71674889647974;129.99943297774962;132.97467513991364
"1.0";"33.0";"-34.890651790953775";"-8.077321416354998";125.43778133737786;108.93178614338447;138.50348843283132;108.93178894291283;129.89734498994582;133.17008900761937
"1.0";"34.0";"-34.89019812298312";"-8.077321416354998";125.68685270059333;110.95921809438669;139.03998915158328;110.95922066312983;129.82697007783983;133.3851551936732
"1.0";"35.0";"-34.88974445501247";"-8.077321416354998";125.97748583746771;112.8240863099656;139.56306708797993;112.82408867869657;129.78895938090295;133.61860650896227
"1.0";"36.0";"-34.889290787041816";"-8.077321416354998";126.30613567810556;114.54787082054861;140.07337571083133;114.54787301536813;129.7836688676443;133.8691361179052
"1.0";"37.0";"-34.88883711907116";"-8.077321416354998";126.66906597803785;116.14869430083863;140.57152202620154;116.14869634368605;129.81114832315123;134.13541738030204
"1.0";"38.0";"-34.88838345110051";"-8.077321416354998";127.06246505818515;117.64177444466365;141.0580708691439;117.64177635395839;129.87113979727349;134.4161219357762
"1.0";"39.0";"-34.887929783129856";"-8.077321416354998";127.48254706809632;119.0399011219797;141.5335487123085;119.0399029132272;129.9630856140828;134.70993572533007
"1.0";"40.0";"-34.8874761151592";"-8.077321416354998";127.92563562726673;120.35386366134455;141.99844705509065;120.3538653476572;130.08614542590243;135.0155727764143
"1.0";"41.0";"-34.88702244718855";"-8.077321416354998";128.38822875120425;121.59281012403562;142.45322544743397;121.59281171656305;130.23922123423523;135.3317866948505
"1.0";"42.0";"-34.886568779217896";"-8.077321416354998";128.86704560650998;122.76454119264237;142.8983141944466;122.7645427009206;130.42098885350032;135.6573799043879
"1.0";"43.0";"-34.88611511124724";"-8.077321416354998";129.359056784273;123.87574778067525;143.33411678134166;123.87574921290832;130.62993400159542;135.9912107506604
"1.0";"44.0";"-34.88566144327659";"-8.077321416354998";129.8615004512421;124.93220243275312;143.7610120526327;124.93220379603974;130.86439108074796;136.33219864099715
"1.0";"45.0";"-34.885207775305936";"-8.077321416354998";130.37188701035103;125.9389135980812;144.17935617481822;125.9389148985978;131.12258275635318;136.67932742663598
"2.0";"1.0";"-34.90516916626704";"-8.076872249064992";135.6149518193699;128.20552578902397;101.019654637672;128.20552461419072;140.5631092428128;137.188670117223
"2.0";"2.0";"-34.9047154988011";"-8.076872249064992";135.09725060863744;127.29790498045699;104.03165824425878;127.29790375380932;140.15685184448358;136.81387111687815
"2.0";"3.0";"-34.90426183133517";"-8.076872249064992";134.57322713099532;126.34935605553244;106.67129993431102;126.3493547723381;139.74673680981147;136.44242411479462
