"i";"j";"lon";"lat";"PL_1";"PL_2";"PL_3";"PL_4";"PL_5";"PL_6"
"1.0";"1.0";"-34.905327949777906";"-8.0774786249065";145.24232834349422;137.9176327220946;111.50943971346004;137.91763162377862;149.86897286300035;146.81381924137315
"1.0";"2.0";"-34.90519184933371";"-8.0774786249065";145.10100124195523;137.66696881558556;112.36060487857242;137.6669677037525;149.7567818821199;146.71113476991408
"1.0";"3.0";"-34.90505574888952";"-8.0774786249065";144.9592196713602;137.41320169744063;113.1825115085282;137.41320057176182;149.64430256118754;146.60871654407268
"1.0";"4.0";"-34.90491964844532";"-8.0774786249065";144.8169929170335;137.15625548970095;113.97664347931041;137.15625434983596;149.53153943688568;146.5065837157912
"1.0";"5.0";"-34.90478354800113";"-8.0774786249065";144.67433088086688;136.89605157728005;114.74444184203347;136.89605042287607;149.41849728629327;146.4047559171098
"1.0";"6.0";"-34.90464744755693";"-8.0774786249065";144.53124410770565;136.63250847936735;115.48728988508671;136.63250731005866;149.30518113506417;146.30325326411338
"1.0";"7.0";"-34.90451134711274";"-8.0774786249065";144.38774381262155;136.36554171354175;116.20650467694887;136.3655405289491;149.19159626582612;146.20209636041932
"1.0";"8.0";"-34.90437524666854";"-8.0774786249065";144.24384190908302;136.09506365212752;116.9033330332277;136.09506245185744;149.0777482268025;146.10130630016974
"1.0";"9.0";"-34.90423914622435";"-8.0774786249065";144.0995510380313;135.82098337029208;117.57895046597683;135.82098215393623;148.96364284065947;146.0009046704911
"1.0";"10.0";"-34.904103045780154";"-8.0774786249065";143.9548845978699;135.54320648535383;118.23446210588821;135.54320525248824;148.84928621358003;145.90091355338268
"1.0";"11.0";"-34.90396694533596";"-8.0774786249065";143.80985677536955;135.2616349867317;118.87090489252905;135.26163373691608;148.73468474456644;145.80135552699392
"1.0";"12.0";"-34.903830844891765";"-8.0774786249065";143.66448257749101;134.97616705593123;119.48925054238588;134.976165788708;148.6198451349725;145.70225366625095
"1.0";"13.0";"-34.90369474444757";"-8.0774786249065";143.5187778641222;134.68669687592364;120.09040895576194;134.68669559081724;148.50477439826594;145.60363154278994
"1.0";"14.0";"-34.903558644003375";"-8.0774786249065";143.37275938172354;134.3931144292336;120.67523183025216;134.3931131257494;148.38947987002115;145.505513224155
"1.0";"15.0";"-34.90342254355918";"-8.0774786249065";143.22644479787104;134.09530528400916;121.24451632371526;134.09530396163268;148.27396921814227;145.40792327221803
"1.0";"16.0";"-34.903286443114986";"-8.0774786249065";143.07985273668186;133.79315036730497;121.79900866259983;133.79314902550067;148.15825045331525;145.31088674077614
"1.0";"17.0";"-34.90315034267079";"-8.0774786249065";142.93300281510187;133.48652572476462;122.33940762865282;133.48652436297493;148.04233193968764;145.2144291722826
"1.0";"18.0";"-34.9030142422266";"-8.0774786249065";142.78591568002938;133.17530226584515;122.86636788303082;133.17530088348929;147.92622240577376;145.1185765936668
"1.0";"19.0";"-34.9028781417824";"-8.0774786249065";142.63861304624257;132.85934549368184;123.38050310489163;132.8593440901545;147.80993095558244;145.02335551119862
"1.0";"20.0";"-34.90274204133821";"-8.0774786249065";142.4911177350915;132.5385152186497;123.88238893396522;132.5385137933199;147.69346707996326;144.92879290435164
"1.0";"21.0";"-34.90260594089401";"-8.0774786249065";142.34345371390833;132.21266525463824;124.37256571502803;132.21266380684781;147.57684066816702;144.83491621862171
"1.0";"22.0";"-34.90246984044982";"-8.0774786249065";142.19564613608077;131.88164309702114;124.85154104779694;131.8816416260834;147.46006201961458;144.741753357256
"1.0";"23.0";"-34.90233374000562";"-8.0774786249065";142.04772138172527;131.54528958127398;125.31979214935166;131.54528808647203;147.34314185586757;144.64933267184912
"1.0";"24.0";"-34.90219763956143";"-8.0774786249065";141.89970709888723;131.20343852117387;125.77776803838239;131.20343700175903;147.22609133279346;144.55768295176412
"1.0";"25.0";"-34.902061539117234";"-8.0774786249065";141.75163224518414;130.85591632550927;126.2258915517662;130.85591478069935;147.10892205291603;144.46683341233617
"1.0";"26.0";"-34.90192543867304";"-8.0774786249065";141.6035271297978;130.50254159223985;126.66456120450644;130.50254002121733;146.99164607794097;144.37681368181973
"1.0";"27.0";"-34.901789338228845";"-8.0774786249065";141.4554234557092;130.143124679082;127.09415290414069;130.14312308099198;146.87427594144566;144.28765378704048
"1.0";"28.0";"-34.90165323778465";"-8.0774786249065";141.30735436205623;129.77746724956123;127.51502153048864;129.77746562350956;146.7568246617199;144.1993841377158
"1.0";"29.0";"-34.901517137340456";"-8.0774786249065";141.1593544664827;129.40536179368183;127.92750239118226;129.40536013873268;146.63930575474353;144.11203550941022
"1.0";"30.0";"-34.90138103689626";"-8.0774786249065";141.01145990733065;129.02659112252252;128.33191256287193;129.02658943769634;146.5217332472849;144.0256390250943
"1.0";"31.0";"-34.901244936452066";"-8.0774786249065";140.8637083855141;128.64092783629746;128.72855212739225;128.64092612056845;146.40412169010244;143.94022613527952
"1.0";"32.0";"-34.90110883600787";"-8.0774786249065";140.71613920589564;128.248133765738;129.11770531153144;128.2481320180316;146.2864861712299;143.85582859670384
"1.0";"33.0";"-34.90097273556368";"-8.0774786249065";140.56879331797094;127.84795938708172;129.49964153841012;127.84795760627199;146.1688423293245;143.77247844954772
"1.0";"34.0";"-34.90083663511948";"-8.0774786249065";140.42171335564737;127.4401432115304;129.87461639785116;127.44014139643727;146.0512063670534;143.69020799316334
"1.0";"35.0";"-34.90070053467529";"-8.0774786249065";140.2749436758863;127.02441115080109;130.24287254252556;127.02440930018751;145.93359506449445;143.60904976030562
"1.0";"36.0";"-34.90056443423109";"-8.0774786249065";140.12853039595805;126.60047586139282;130.6046405160949;126.60047397396187;145.81602579252225;143.5290364898571
"1.0";"37.0";"-34.9004283337869";"-8.0774786249065";139.98252142903905;126.16803607149492;130.96013951904374;126.16803414588672;145.69851652615046;143.4502010980452
"1.0";"38.0";"-34.900292233342704";"-8.0774786249065";139.83696651786175;125.72677589615375;131.30957811740478;125.7267739309425;145.58108585779732;143.37257664815584
"1.0";"39.0";"-34.90015613289851";"-8.0774786249065";139.69191726610543;125.27636414850087;131.65315489912768;125.27636214219181;145.46375301043958;143.29619631875246
"1.0";"40.0";"-34.900020032454314";"-8.0774786249065";139.54742716719682;124.81645365766607;131.99105908242583;124.81645160869252;145.3465378506172;143.22109337041744
"1.0";"41.0";"-34.89988393201012";"-8.0774786249065";139.40355163016798;124.3466806076285;132.32347108005467;124.3466785143489;145.2294609012486;143.14730111103827
"1.0";"42.0";"-34.899747831565925";"-8.0774786249065";139.26034800219824;123.8666639159261;132.65056302312686;123.86666177662158;145.11254335421248;143.07485285966854
"1.0";"43.0";"-34.89961173112173";"-8.0774786249065";139.1178755874464;123.37600467713935;132.97249924775167;123.37600249001132;144.99580708265145;143.00378190900068
"1.0";"44.0";"-34.899475630677536";"-8.0774786249065";138.97619566176087;122.87428570376194;133.28943674749604;122.87428346693042;144.87927465294678;142.93412148649577
"1.0";"45.0";"-34.89933953023334";"-8.0774786249065";127.84679049427831;104.53591262454056;123.99661964257884;128.5164674172636;137.7893231121043;137.99863490474067
"1.0";"46.0";"-34.89920342978915";"-8.0774786249065";123.76439691041105;90.16604868298523;121.65601805504669;124.07501844805181;132.5471894246671;138.79978098472057
"1.0";"47.0";"-34.89906732934495";"-8.0774786249065";129.82327666534945;102.56082616792675;130.55086266800734;121.69415830223753;135.3605683588699;140.6119669160812
"1.0";"48.0";"-34.89893122890076";"-8.0774786249065";138.4186958006376;120.74781701812938;134.5101051645555;120.74781456204339;144.41565958028903;142.6702450612883
"1.0";"49.0";"-34.89879512845656";"-8.0774786249065";123.47621118377599;92.776853034812;127.46139162228951;119.6990744182332;130.92683663482677;137.47382128784076
"1.0";"50.0";"-34.89865902801237";"-8.0774786249065";138.1464397103184;119.60602148972585;135.09405528519565;119.60601891066554;144.18571464223507;142.54762219104785
"1.0";"51.0";"-34.89852292756817";"-8.0774786249065";138.01218932613025;119.01366735447958;135.37986233165287;119.01366471037153;144.07130150855482;142.48875162652828
"1.0";"52.0";"-34.89838682712398";"-8.0774786249065";137.87929266655178;118.4062836933775;135.66170724814265;118.40628098179887;143.9572989887175;142.43155000272222
"1.0";"53.0";"-34.898250726679784";"-8.0774786249065";137.74782850847802;117.7833195925131;135.9396968496961;117.78331681103427;143.84373634455935;142.37604802151716
"1.0";"54.0";"-34.89811462623559";"-8.0774786249065";137.61787741880084;117.14422634507304;136.2139337524683;117.14422349129238;143.7306436197601;142.32227587250657
"1.0";"55.0";"-34.897978525791395";"-8.0774786249065";137.48952169253232;116.4884666160642;136.48451658750815;116.48846368765463;143.6180516440464;142.27026318457476
"1.0";"56.0";"-34.8978424253472";"-8.0774786249065";137.36284528103133;115.81552668729915;136.7515402013326;115.81552368207015;143.50599203622738;142.22003897729408
"1.0";"57.0";"-34.897706324903005";"-8.0774786249065";137.23793370989478;115.12493267600597;137.015095844251;115.1249295919854;143.3944972059711;142.17163161227822
"1.0";"58.0";"-34.89757022445881";"-8.0774786249065";137.11487398610774;114.4162718668197;137.27527134730948;114.41626870236115;143.28360035422983;142.1250687446419
"1.0";"59.0";"-34.897434124014616";"-8.0774786249065";136.99375449408618;113.68922060416554;137.53215128865514;113.68921735808829;143.1733354722193;142.08037727472095
"1.0";"60.0";"-34.89729802357042";"-8.0774786249065";136.874664880294;112.9435805692772;137.785817150057;112.9435772410477;143.06373733885457;142.0375833002119
"1.0";"61.0";"-34.89716192312623";"-8.0774786249065";136.75769592617203;112.17932571868485;138.03634746426246;112.17932230865112;142.95484151654446;141.99671206889371
"1.0";"62.0";"-34.89702582268203";"-8.0774786249065";136.6429394091798;111.39666268514608;138.28381795381497;111.39665919483845;142.8466843452446;141.95778793209627
"1.0";"63.0";"-34.89688972223784";"-8.0774786249065";136.53048795182545;110.5961080149941;138.5283016619106;110.59610444750831;142.73930293466765;141.9208342990831
"1.0";"64.0";"-34.89675362179364";"-8.0774786249065";136.4204348586378;109.77858617977544;138.7698690758267;109.77858254025695;142.63273515455083;141.88587359251537
"1.0";"65.0";"-34.89661752134945";"-8.0774786249065";136.31287394112675;108.94555273512444;139.00858824341546;108.94554903137333;142.52701962287873;141.8529272051654
"1.0";"66.0";"-34.89648142090525";"-8.0774786249065";136.20789933087386;108.09914708416107;139.24452488311826;108.09914332737695;142.42219569196155;141.8220154580462
"1.0";"67.0";"-34.89634532046106";"-8.0774786249065";136.10560528100126;107.24237865518118;139.47774248792243;107.24237486086133;142.3183034322698;141.7931575601207
"1.0";"68.0";"-34.896209220016864";"-8.0774786249065";136.00608595637908;106.3793483129055;139.70830242365057;106.37934450189732;142.2153836139286;141.7663715697532
"1.0";"69.0";"-34.89607311957267";"-8.0774786249065";135.90943521305027;105.51550258157717;139.93626402194536;105.51549878126016;142.11347768577744;141.74167435805873
"1.0";"70.0";"-34.895937019128475";"-8.0774786249065";135.81574636747467;104.65791055219722;140.16168466828438;104.65790679772628;142.01262775190474;141.71908157430272
"1.0";"71.0";"-34.89580091868428";"-8.0774786249065";135.7251119563229;103.815540809645;140.38461988533712;103.81553714511904;141.91287654557107;141.69860761349634
