"lat";"lon";"PLBTS1";"PLBTS2";"PLBTS3";"PLBTS4";"PLBTS5";"PLBTS6";"SqEuclidean1";"SqEuclidean2";"SqEuclidean3";"latM";"longM";"distance";"Point_i";"Point_j"
-8.065532;-34.901314;134.0566666666667;126.99000000000001;123.2233333333333;116.39;132.0566666666667;126.6233333333333;"(28,9)";"(135,45)";"(270,90)";-8.065440941534208;-34.901335791054954;0.010408519675468832;270;90
-8.076395;-34.899727;123.09;107.9566666666667;123.49000000000001;133.9233333333333;134.32333333333332;139.19;"(2,13)";"(7,65)";"(14,130)";-8.076939624158486;-34.89952100533565;0.06468475463763435;14;130
-8.066825;-34.894756;123.315;125.11500000000001;127.315;126.36500000000001;123.74000000000001;101.39;"(24,25)";"(120,117)";"(239,233)";-8.066833360133241;-34.89484849350939;0.01022827396417859;239;233
-8.076395;-34.895554;113.64;94.815;132.515;112.065;127.065;135.215;"(3,22)";"(13,107)";"(25,216)";-8.076445540139474;-34.89561947644089;0.009142810640498681;25;216
-8.067696;-34.893021;117.29;122.94;118.59;116.79;114.44;109.09;"(24,10)";"(110,52)";"(220,104)";-8.067686777984262;-34.900700648488346;0.8457259840682639;220;104
-8.076109;-34.896084;120.99000000000001;111.7233333333333;136.0233333333333;125.1233333333333;131.35666666666668;139.85666666666668;"(4,21)";"(23,101)";"(48,201)";-8.07541245537245;-34.896300000192106;0.08104346459345425;48;201
-8.075558;-34.893211;112.39;125.2233333333333;123.9566666666667;107.4566666666667;127.7233333333333;140.9233333333333;"(7,34)";"(34,168)";"(67,336)";-8.074559037521428;-34.89017554370896;0.35225773198824634;67;336
-8.068107;-34.892117;114.44;129.19;127.14;107.14;119.14;116.09;"(22,29)";"(108,145)";"(215,289)";-8.067911361629267;-34.89230798392592;0.030263124600438073;215;289
-8.074609;-34.900265;116.515;113.415;105.19;130.04000000000002;138.16500000000002;136.84;"(8,12)";"(34,57)";"(67,113)";-8.074559037521428;-34.90029227024518;0.006316680316868238;67;113
-8.065801;-34.889931;136.99;129.59;136.25666666666672;127.4566666666667;105.79;131.0566666666667;"(27,35)";"(131,164)";"(262,327)";-8.065800275366216;-34.890584163143366;0.07193031909038942;262;327
-8.072589;-34.891289;95.7233333333333;126.09;117.59;106.5566666666667;110.4566666666667;134.19;"(11,33)";"(55,163)";"(110,325)";-8.072627618174382;-34.89067464545613;0.0677915132824023;110;325
-8.075829;-34.894043;112.35666666666671;118.3233333333333;119.09;109.02333333333331;131.29000000000002;142.6233333333333;"(4,26)";"(23,136)";"(46,272)";-8.075502288830451;-34.893078970089356;0.11220931147552951;46;272
